strain,temperature,h2o2_pmol_per_mL,kdam_mL_per_pmol_per_day,ci95_low,ci95_high,n_obs,r2
MED4,14,61,0.0007056727042932618,0.0004754832618551518,0.0009358621467313718,18,0.9905413628177936
MED4,14,200,0.0001613914512398376,7.750653133106687e-05,0.0002452763711486084,18,0.9850380974872214
MED4,14,400,0.0011336826201259565,0.0009793317509254322,0.0012880334893264807,18,0.6967644658980856
MED4,16,61,0.0011485032465457293,0.0007761640187049377,0.0015208424743865208,18,0.9719456293513167
MED4,16,200,0.00029342415586463736,0.00018094018592326364,0.0004059081258060111,18,0.9753458555159489
MED4,16,400,0.0009745099822182705,0.0008175762132988763,0.0011314437511376649,18,0.4042415832228098
MED4,19,61,0.0005340249076913028,0.00015725632119343978,0.0009107934941891657,18,0.9865833526908782
MED4,19,200,0.00021893639228663192,0.00013130706975881333,0.00030656571481445054,18,0.9964120521394628
MED4,19,400,0.0007645299141383969,0.0007027464235356776,0.0008263134047411162,18,0.30638606368033416
MED4,22,61,0.002049252709749027,0.0013991360048177665,0.0026993694146802876,15,0.9339078822623725
MED4,22,200,0.0006137560711102913,0.00039066664863459603,0.0008368454935859866,18,0.8952269800643032
MED4,22,400,0.002443238561657958,0.0019994196625622847,0.002887057460753631,18,0.7480002174082655
MED4,24,61,-0.00047445471827713386,-0.0009595621267070091,1.0652690152741372e-05,15,0.9946794927862255
MED4,24,200,0.00032053435647942246,0.0001252802823334221,0.0005157884306254228,18,0.9567786817561569
MED4,24,400,0.0005606615471954362,0.00046669313193938933,0.000654629962451483,18,0.828242378416564
MED4,26,61,0.0011037859775941796,0.00019226936217657802,0.0020153025930117812,15,0.8932698845878887
MED4,26,200,0.00041632662795761084,0.0002464488063750066,0.0005862044495402151,18,0.9787574669247577
MED4,26,400,0.0005450993298325353,0.00037262279016952836,0.0007175758694955422,18,0.3830683213675621
MED4,28,61,0.004244691615678831,0.00133090178216862,0.007158481449189041,12,0.7823419197676501
MED4,28,200,0.0013019081742411032,0.0005590027416242545,0.002044813606857952,12,0.8482844929249946
MED4,28,400,0.001566126614836786,0.0011232084465001456,0.0020090447831734265,12,0.9157377997100815
MIT9312,16,90,0.0018722464276537838,-0.0006479309775641415,0.0043924238328717094,12,0.9329939054298766
MIT9312,16,200,0.0005062989353286594,-0.0008009212445858162,0.0018135191152431351,12,0.6706804160117195
MIT9312,16,400,-0.0002599973944106223,-0.001078777808836398,0.0005587830200151533,12,0.09943654674550628
MIT9312,16-19,90,-0.000565562421702778,-0.0024630222335422854,0.0013318973901367296,18,0.30990356101421124
MIT9312,16-19,200,-0.00025724658681718207,-0.0008803696081494104,0.0003658764345150463,18,0.5741695848656176
MIT9312,16-19,400,-4.3140906074441296e-05,-0.0003827609692591513,0.00029647915711026874,18,0.5652859372309245
MIT9312,19,90,0.0006871569349376074,0.00043763266782781115,0.0009366812020474037,18,0.9966975936868958
MIT9312,19,200,0.0005486062610108183,0.00040003135314040615,0.0006971811688812305,18,0.9759453130284543
MIT9312,19,400,0.0011929506642731626,0.0009824680984287528,0.0014034332301175725,18,0.21560631857797963
MIT9312,22,90,0.0004910242566662306,0.00011277687757088015,0.0008692716357615812,18,0.9889222553966084
MIT9312,22,200,0.0003170269350414942,0.00017666065671756076,0.0004573932133654276,18,0.9963220447543313
MIT9312,22,400,0.0002669790385385669,0.00018905158309305157,0.00034490649398408223,18,0.9902709164887947
MIT9312,24,90,0.0004203078030632468,-6.296968118165629e-05,0.0009035852873081499,18,0.9899601752965833
MIT9312,24,200,0.000463072398337033,0.00020698441005029614,0.0007191603866237698,18,0.970972708956736
MIT9312,24,400,0.0002914409537429202,0.00016894757414662143,0.000413934333339219,18,0.972962464128143
MIT9312,26,90,0.0010912794987679108,0.0006317883449066535,0.001550770652629168,18,0.946795000886136
MIT9312,26,200,0.0006566361424639019,0.0005037015516343448,0.0008095707332934591,18,0.976313708893439
MIT9312,26,400,0.0014588013226593405,0.001251604026018407,0.001665998619300274,18,0.5786334445536526
MIT9312,28,90,0.0022190056743350236,0.0014342174601820825,0.003003793888487965,18,0.7379765928237045
MIT9312,28,200,0.0009023596265916159,0.0006426318574498432,0.0011620873957333886,18,0.8747495606026251
MIT9312,28,400,0.0009686089785238808,0.0008465038252155319,0.0010907141318322296,18,0.1679565807767769
