strain,temperature,mu,mu_se,mu_ci_low,mu_ci_high,r2,n_obs
MIT9312,16,-0.2356763901240733,0.11053711685657258,-0.4819684347763912,0.010615654528244589,0.31251908089978897,12
MIT9312,16-19,-0.24614648504609643,0.04781030815865086,-0.3474998106690099,-0.14479315942318294,0.6235825516651015,18
MIT9312,19,0.3897984860665756,0.010440651825841743,0.36766529293365213,0.411931679199499,0.9886515082521266,18
MIT9312,22,0.4884934577437151,0.012785135169169825,0.46139018194733505,0.5155967335400952,0.9891587558093645,18
MIT9312,24,0.5164083471591566,0.018635371881953827,0.4769031235536485,0.5559135707646647,0.9795894962811891,18
MIT9312,26,0.3932047484645594,0.011812942628687349,0.3681624287866113,0.41824706814250745,0.9857645286686395,18
MIT9312,28,0.425885860755309,0.01278352592209313,0.3987859964103346,0.4529857251002834,0.985789187734864,18
MED4,14,0.2646081105983442,0.004693239443164395,0.25465888743226694,0.2745573337644215,0.9949918351022381,18
MED4,16,0.28685396923716217,0.007035305281877044,0.2719397882884734,0.3017681501858509,0.9904675529153135,18
MED4,19,0.3320941324355567,0.007826142810154387,0.31550345081985,0.3486848140512634,0.991192530747091,18
MED4,22,0.35749562779977667,0.010730056197881513,0.3347489248049484,0.38024233079460495,0.9857908761195,18
MED4,24,0.3479475456773385,0.013019046125195185,0.32034840080573446,0.3755466905489425,0.9780906315871507,18
MED4,26,0.3183833904398072,0.015016570184130888,0.2865496837303439,0.35021709714927046,0.9656306194184706,18
MED4,28,-0.2429884742698706,0.03485584493377169,-0.32065213658487257,-0.16532481195486864,0.8293462725699163,12
