strain,temperature,treatment,Time(days),replicate,cells,ln_cells
MIT9312,14,90,1,rep1,3160.0,8.058327306580958
MIT9312,16,90,1,rep1,3327.0,8.109826276018477
MIT9312,16,90,4,rep1,637.0,6.456769655572163
MIT9312,16,90,5,rep1,680.0,6.522092798170152
MIT9312,16,90,7,rep1,297.0,5.6937321388027
MIT9312,16-19,90,1,rep1,5884.0,8.679992081721329
MIT9312,16-19,90,4,rep1,1233.0,7.117205503164344
MIT9312,16-19,90,5,rep1,1829.0,7.511524648390866
MIT9312,16-19,90,7,rep1,467.0,6.1463292576688975
MIT9312,16-19,90,8,rep1,637.0,6.456769655572163
MIT9312,16-19,90,10,rep1,4511.0,8.414274137408396
MIT9312,19,90,1,rep1,34921.0,10.460843646427818
MIT9312,19,90,4,rep1,86517.0,11.368096205402036
MIT9312,19,90,5,rep1,111204.0,11.619121631374691
MIT9312,19,90,7,rep1,228190.0,12.33793389424047
MIT9312,19,90,8,rep1,328060.0,12.700951797466477
MIT9312,19,90,10,rep1,578220.0,13.267709698073388
MIT9312,22,90,1,rep1,40857.0,10.617833444237068
MIT9312,22,90,4,rep1,142303.0,11.865713866076378
MIT9312,22,90,5,rep1,208698.0,12.248643509885689
MIT9312,22,90,7,rep1,568390.0,13.250563081806126
MIT9312,22,90,8,rep1,1019180.0,13.834508940373588
MIT9312,22,90,10,rep1,2265720.0,14.633403147180578
MIT9312,24,90,1,rep1,49745.0,10.81466523502346
MIT9312,24,90,4,rep1,210722.0,12.258295008200099
MIT9312,24,90,5,rep1,277944.0,12.535174933532323
MIT9312,24,90,7,rep1,765040.0,13.547683399023425
MIT9312,24,90,8,rep1,1165120.0,13.968334643969206
MIT9312,24,90,10,rep1,2980410.0,14.907571432910409
MIT9312,26,90,1,rep1,53662.0,10.890460394995813
MIT9312,26,90,4,rep1,135010.0,11.813104128751291
MIT9312,26,90,5,rep1,171190.0,12.050529329768825
MIT9312,26,90,7,rep1,263600.0,12.48218808161049
MIT9312,26,90,8,rep1,391290.0,12.877204252032438
MIT9312,26,90,10,rep1,421850.0,12.952405079593772
MIT9312,28,90,1,rep1,43916.0,10.690033997354623
MIT9312,28,90,4,rep1,113245.0,11.637308892260261
MIT9312,28,90,5,rep1,132446.0,11.793930294168684
MIT9312,28,90,7,rep1,223160.0,12.315644281959464
MIT9312,28,90,8,rep1,267230.0,12.495864989791313
MIT9312,28,90,10,rep1,346800.0,12.756503523888524
MIT9312,14,200,1,rep1,4568.0,8.426830751335846
MIT9312,16,200,1,rep1,4137.0,8.327726166461412
MIT9312,16,200,4,rep1,552.0,6.313548046277095
MIT9312,16,200,5,rep1,935.0,6.840546529288687
MIT9312,16,200,7,rep1,594.0,6.386879319362645
MIT9312,16-19,200,1,rep1,4521.0,8.416488487294606
MIT9312,16-19,200,4,rep1,935.0,6.840546529288687
MIT9312,16-19,200,5,rep1,552.0,6.313548046277095
MIT9312,16-19,200,7,rep1,892.0,6.79346613258001
MIT9312,16-19,200,8,rep1,680.0,6.522092798170152
MIT9312,16-19,200,10,rep1,723.0,6.583409222158765
MIT9312,19,200,1,rep1,35833.0,10.486624535512897
MIT9312,19,200,4,rep1,84393.0,11.343239738755845
MIT9312,19,200,5,rep1,106547.0,11.57634148133498
MIT9312,19,200,7,rep1,225770.0,12.32727206093202
MIT9312,19,200,8,rep1,271550.0,12.511901563462992
MIT9312,19,200,10,rep1,513960.0,13.149900720397417
MIT9312,22,200,1,rep1,41435.0,10.631881213283142
MIT9312,22,200,4,rep1,145717.0,11.889421663482633
MIT9312,22,200,5,rep1,186965.0,12.138676712543623
MIT9312,22,200,7,rep1,493230.0,13.108730875673032
MIT9312,22,200,8,rep1,768700.0,13.552456055337224
MIT9312,22,200,10,rep1,1988060.0,14.502669846829736
MIT9312,24,200,1,rep1,55232.0,10.9192977744431
MIT9312,24,200,4,rep1,198039.0,12.196219259977658
MIT9312,24,200,5,rep1,305880.0,12.630948147158161
